,,,,,,
Número,Pergunta,Tipo,Objetivo Específico,RQ,,Objetivos
1,Qual o nível de dificuldade para o desenvolvimento do projeto?,Multipla Escolha,5,2,,i) identificar o aprendizado declarado; 
2,Qual seu nível de motivação durante todo o processo de contribuição?,Multipla Escolha,3,2,,ii) medir a interação dos alunos;
3,A interação com outros capítulos (caso tenha ocorrido) contribui no seu processo de escrita?,Multipla Escolha,2,2,,iii) verificar a motivação e engajamento;
4,Qual o seu nível de engajamento com o conteúdo?,Multipla Escolha,3,2,,iv) medir os níveis de satisfação em participar do projeto
5,Quanto o projeto contribuiu para a interação com novos conteúdos?,Multipla Escolha,1,1,,v) medir o nível de dificuldade
6,Quanto o projeto contribuiu para a formação técnica?,Multipla Escolha,1,1,,
7,Quanto o projeto contribuiu com sua formação acadêmica?,Multipla Escolha,1,1,,RQ's
8,Compensou participar do projeto?,Multipla Escolha,4,2,,1-Qual foi o aprendizado declarado pelos alunos após a realização do projeto?
9,Você gostou de participar do projeto?,Multipla Escolha,4,2,,2-Quais foram as opiniões dos alunos sobre o desenvolvimento do projeto?
10,Você se interessaria em conduzir mais projetos com este mesmo estilo?,Multipla Escolha,4,3,,3-Qual a relevância do projeto para os alunos?
11,Quais foram as suas principais dificuldades para construção do material proposto?,Subjetiva,5,2,,
12,Como foi realizar a produção de sua monografia de modo a explorar um pouco mais sua Seção de Referencial Teórico para contribuir na construção do livro?,Subjetiva,4,3,,
13,"Quais foram as suas principais fontes de informação (Livros, blogs, artigos…)?",Subjetiva,1,1,,
14,Qual a principal contribuição que esse projeto lhe proporcionou na sua formação?,Subjetiva,1,1,,
15,Quantos e quais temas diferentes ao que você se dedicou também despertou seu interesse?,Subjetiva,2,2,,
16,A Carga de Trabalho foi alta considerando as demais habilidades realizadas/desenvolvidas em outras disciplinas? Qual seu tempo de dedicação?,Subjetiva,x,x,,
17,Quais as vantagens e desvantagens desse projeto do livro?,Subjetiva,4,2,,
18,Por você ter corrido atrás do material você acredita que aprendeu mais sobre o assunto? Ou se o professor tivesse demonstrado o assunto em sala de aula teria sido mais produtivo?,Subjetiva,1,1,,
19,"Você conseguiu desenvolver quais habilidades durante o processo? (Escrita, Didática, Hard Skills, Soft Skills, etc)",Subjetiva,1,1,,
20,Você se sentiu acolhido em um projeto realizado em conjunto? Com contribuição colaborativa? Outras pessoas compartilharam materiais? Outras pessoas lhe ajudaram?,Subjetiva,2,2,,
21,O que você acha dessa metodologia de ensino de sala de aula invertida? Na sala de aula invertida você busca o conteúdo e o professor apenas lhe instrui e tira eventuais dúvidas levantadas durante o processo de pesquisa.  Essa metodologia foi utilizada no projeto do livro?,Subjetiva,4,3,,
22,Há alguma outra informação que você gostaria de mencionar?,Subjetiva,x,x,,
